Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
MUMIPLOP: optimal multi-core IoT service placement in fog environments,Computing,,,,10.1007/s00607-025-01460-9,Juan Luis HerreraDomenico ScoteceJaime Galán-JiménezJavier BerrocalGiuseppe Di ModicaLuca Foschini,2025,https://link.springer.com/article/10.1007/s00607-025-01460-9,Article
Functionality-aware offloading technique for scheduling containerized edge applications in IoT edge computing,Journal of Cloud Computing,,,,10.1186/s13677-025-00737-w,Lionel NkenyereyeBoon Giin LeeWan-Young Chung,2025,https://link.springer.com/article/10.1186/s13677-025-00737-w,Article
Serverless Workflows for Containerised Applications in the Cloud Continuum,Journal of Grid Computing,,,,10.1007/s10723-021-09570-2,Sebastián RiscoGermán MoltóDiana M. NaranjoIgnacio Blanquer,2021,https://link.springer.com/article/10.1007/s10723-021-09570-2,Article
AI-driven job scheduling in cloud computing: a comprehensive review,Artificial Intelligence Review,,,,10.1007/s10462-025-11208-8,Yousef SanjalaweSalam Al-E’mariSalam FraihatSharif Makhadmeh,2025,https://link.springer.com/article/10.1007/s10462-025-11208-8,Article
Cost optimization in edge computing: a survey,Artificial Intelligence Review,,,,10.1007/s10462-024-10947-4,Liming CaoTao HuoShaobo LiXingxing ZhangYanchi ChenGuangzheng LinFengbin WuYihong LingYaxin ZhouQun Xie,2024,https://link.springer.com/article/10.1007/s10462-024-10947-4,Article
Towards enhancing security for upcoming <i>6G</i>-ready smart grids through federated learning and cloud solutions,Cybersecurity,,,,10.1186/s42400-024-00350-5,J. JithishNagarajan MahalingamBo WangKiat Seng Yeo,2025,https://link.springer.com/article/10.1186/s42400-024-00350-5,Article
A survey on the evolution of stream processing systems,The VLDB Journal,,,,10.1007/s00778-023-00819-8,Marios FragkoulisParis CarboneVasiliki KalavriAsterios Katsifodimos,2023,https://link.springer.com/article/10.1007/s00778-023-00819-8,Article
Cloud storage tier optimization through storage object classification,Computing,,,,10.1007/s00607-024-01281-2,Akif Quddus KhanMihhail MatskinRadu ProdanChristoph BusslerDumitru RomanAhmet Soylu,2024,https://link.springer.com/article/10.1007/s00607-024-01281-2,Article
A survey on resource scheduling approaches in multi-access edge computing environment: a deep reinforcement learning study,Cluster Computing,,,,10.1007/s10586-024-04893-7,Ahmed A. IsmailNour Eldeen KhalifaReda A. El-Khoribi,2025,https://link.springer.com/article/10.1007/s10586-024-04893-7,Article
Trade-Offs and Challenges of Serverless Data Analytics,Technologies and Applications for Big Data Value,,,,10.1007/978-3-030-78307-5_3,Pedro García-LópezMarc Sánchez-ArtigasSimon ShillakerPeter PietzuchDavid BreitgandGil VernikPierre SutraTristan TarrantAna Juan-FerrerGerard París,2022,https://link.springer.com/chapter/10.1007/978-3-030-78307-5_3,Chapter
Beyond the Basics: An In-Depth Analysis and Multidimensional Survey of Programmable Switch in Software-Defined Networking,International Journal of Networked and Distributed Computing,,,,10.1007/s44227-024-00049-6,Vaishali A. ShirsathMadhav M. Chandane,2024,https://link.springer.com/article/10.1007/s44227-024-00049-6,Article
A survey on hybrid transactional and analytical processing,The VLDB Journal,,,,10.1007/s00778-024-00858-9,Haoze SongWenchao ZhouHeming CuiXiang PengFeifei Li,2024,https://link.springer.com/article/10.1007/s00778-024-00858-9,Article
Cloud media video encoding: review and challenges,Multimedia Tools and Applications,,,,10.1007/s11042-024-18763-2,Wilmer Moina-RiveraMiguel Garcia-PinedaJuan Gutiérrez-AguadoJose M. Alcaraz-Calero,2024,https://link.springer.com/article/10.1007/s11042-024-18763-2,Article
System log isolation for containers,Frontiers of Computer Science,,,,10.1007/s11704-024-2568-8,Kun WangSong WuYanxiang CuiZhuo HuangHao FanHai Jin,2024,https://link.springer.com/article/10.1007/s11704-024-2568-8,Article
Cognitive Computing Continuum: State-of-the-Art Review and ENACT Vision &amp; Approach,Journal of Grid Computing,,,,10.1007/s10723-025-09810-9,Ioanna Angeliki KapetanidouAlexandros NizamisEfstathios KaranastasisGabriel-Mihail DanciuClara Isabel Valero LópezThanasis KotsiopoulosJuan GascónJaime FlorRoss CampbellAthanasios LiatifisNadia Masood KhanDejan DrajicStefan JarcauVlad MocanuMihnea LopataruHaya Al kassirDimitrios PliatsiosEfthymios ChondrogiannisAntonios LitkeSrdjan KrcoUsman WajidSeptimiu NechiforPanagiotis SarigiannidisPanagiotis TrakadasKonstantinos Votis,2025,https://link.springer.com/article/10.1007/s10723-025-09810-9,Article
"Your Project, Through the Lens of Database Performance",Database Performance at Scale,,,,10.1007/978-1-4842-9711-7_2,Felipe Cardeneti MendesPiotr SarnaPavel EmelyanovCynthia Dunlop,2023,https://link.springer.com/chapter/10.1007/978-1-4842-9711-7_2,Chapter
A survey of Kubernetes scheduling algorithms,Journal of Cloud Computing,,,,10.1186/s13677-023-00471-1,Khaldoun SenjabSohail AbbasNaveed AhmedAtta ur Rehman Khan,2023,https://link.springer.com/article/10.1186/s13677-023-00471-1,Article
Cloud based evaluation of databases for stock market data,Journal of Cloud Computing,,,,10.1186/s13677-022-00323-4,Baldeep SinghRandall MartyrThomas MedlandJamie AstinGordon HunterJean-Christophe Nebel,2022,https://link.springer.com/article/10.1186/s13677-022-00323-4,Article
Multiple time series database on microservice architecture for IoT-based sleep monitoring system,Journal of Big Data,,,,10.1186/s40537-022-00658-4,Eko SimanjuntakNico Surantha,2022,https://link.springer.com/article/10.1186/s40537-022-00658-4,Article
Infrastructure and Deployment Models,Database Performance at Scale,,,,10.1007/978-1-4842-9711-7_7,Felipe Cardeneti MendesPiotr SarnaPavel EmelyanovCynthia Dunlop,2023,https://link.springer.com/chapter/10.1007/978-1-4842-9711-7_7,Chapter
A comprehensive defense approach of deep learning-based NIDS against adversarial attacks,Multimedia Tools and Applications,,,,10.1007/s11042-025-21008-5,Kousik BarikSanjay Misra,2025,https://link.springer.com/article/10.1007/s11042-025-21008-5,Article
Towards a&#xa0;Simulation as&#xa0;a&#xa0;Service Platform for&#xa0;the&#xa0;Cloud-to-Things Continuum,Euro-Par 2023: Parallel Processing Workshops,,,,10.1007/978-3-031-48803-0_6,Wilson ValdezHamza BaniataAndras MarkusAttila Kertesz,2024,https://link.springer.com/chapter/10.1007/978-3-031-48803-0_6,Conference paper
Cloud-Based Digital Twins’ Storage in Emergency Healthcare,International Journal of Networked and Distributed Computing,,,,10.1007/s44227-023-00011-y,Erdan WangPouria TayebiYeong-Tae Song,2023,https://link.springer.com/article/10.1007/s44227-023-00011-y,Article
Cloud Computing Development Trends,Cloud Computing Technology,,,,10.1007/978-981-19-3026-3_8,,2023,https://link.springer.com/chapter/10.1007/978-981-19-3026-3_8,Chapter
A Blockchain-Assisted Trusted Federated Learning for Smart Agriculture,SN Computer Science,,,,10.1007/s42979-025-03672-4,T ManojKrishnamoorthi MakkithayaV G Narendra,2025,https://link.springer.com/article/10.1007/s42979-025-03672-4,Article
Enhancing Machine Learning-Based Autoscaling for Cloud Resource Orchestration,Journal of Grid Computing,,,,10.1007/s10723-024-09783-1,István PintyeJózsef KovácsRóbert Lovas,2024,https://link.springer.com/article/10.1007/s10723-024-09783-1,Article
A systematic literature review on intrusion detection techniques in cloud computing,Discover Computing,,,,10.1007/s10791-025-09641-y,Shamma Shabnam NasimPrashant PranavSandip Dutta,2025,https://link.springer.com/article/10.1007/s10791-025-09641-y,Article
Cloud based real-time multivariate multi-step prediction of systolic blood pressure and heart rate using temporal convolutional network and Apache Spark,Journal of Big Data,,,,10.1186/s40537-025-01207-5,Hager SalehNora El-RashidySherif MostafaAbdulaziz AlMohimeedShaker El-SappaghZainab H. Ali,2025,https://link.springer.com/article/10.1186/s40537-025-01207-5,Article
"Omniforce: on human-centered, large model empowered and cloud-edge collaborative AutoML system",npj Artificial Intelligence,,,,10.1038/s44387-025-00002-0,Chao XueWei LiuShuai XieZhenfang WangJiaxing LiXuyang PengLiang DingShanshan ZhaoQiong CaoYibo YangFengxiang HeBohua CaiRongcheng BianYiyan ZhaoHeliang ZhengXiangyang LiuDongkai LiuDaqing LiuLi ShenChang LiShijin ZhangFei WangYinhao BaiYukang ZhangGuanpu ChenShixiang ChenJing ZhangYibing ZhanChaoyue WangDacheng Tao,2025,https://www.nature.com/articles/s44387-025-00002-0,Article
Extreme and Sustainable Graph Processing for Green Finance Investment and Trading,"AI, Data, and Digitalization",,,,10.1007/978-3-031-53770-7_8,Laurenţiu VasiliuDumitru RomanRadu Prodan,2024,https://link.springer.com/chapter/10.1007/978-3-031-53770-7_8,Conference paper
SSLA: a semi-supervised framework for real-time injection detection and anomaly monitoring in cloud-based web applications with real-world implementation and evaluation,Journal of Cloud Computing,,,,10.1186/s13677-025-00765-6,Seyed Salar SefatiBahman ArastehOctavian FratuSimona Halunga,2025,https://link.springer.com/article/10.1186/s13677-025-00765-6,Article
Advancements in Quantum Computing—Viewpoint: Building Adoption and Competency in Industry,Datenbank-Spektrum,,,,10.1007/s13222-024-00467-4,Sieglinde M. -L. PfaendlerKonstantin KonsonFranziska Greinert,2024,https://link.springer.com/article/10.1007/s13222-024-00467-4,Article
A holistic approach to environmentally sustainable computing,Innovations in Systems and Software Engineering,,,,10.1007/s11334-023-00548-9,Andrea PazienzaGiovanni BaselliDaniele Carlo VinciMaria Vittoria Trussoni,2024,https://link.springer.com/article/10.1007/s11334-023-00548-9,Article
Enhancing public cloud resilience: an analytical review of detection and mitigation strategies against economic denial of sustainability attacks,Discover Internet of Things,,,,10.1007/s43926-025-00183-9,Zubaidi Maytham Sahar Saeed Anazida Binti ZainalFuad A. GhalebBander Ali  Saleh Al-rimy,2025,https://link.springer.com/article/10.1007/s43926-025-00183-9,Article
Low-power multi-cloud deployment of large distributed service applications with response-time constraints,Journal of Cloud Computing,,,,10.1186/s13677-022-00363-w,Babneet SinghRavneet KaurMurray WoodsideJohn W. Chinneck,2023,https://link.springer.com/article/10.1186/s13677-022-00363-w,Article
Enhancing Data Ingestion Efficiency in Cloud-Based Systems: A Design Pattern Approach,Data Science and Engineering,,,,10.1007/s41019-025-00300-2,Chiara RuccoAntonella LongoMotaz Saad,2025,https://link.springer.com/article/10.1007/s41019-025-00300-2,Article
A systematic review on lightweight security algorithms for a sustainable IoT infrastructure,Discover Internet of Things,,,,10.1007/s43926-025-00150-4,Kamal Uddin Sarker,2025,https://link.springer.com/article/10.1007/s43926-025-00150-4,Article
Composition and Deployment,Architecture of Advanced Numerical Analysis Systems,,,,10.1007/978-1-4842-8853-5_9,Liang WangJianxin Zhao,2023,https://link.springer.com/chapter/10.1007/978-1-4842-8853-5_9,Chapter
Predictive digital twin driven trust model for cloud service providers with Fuzzy inferred trust score calculation,Journal of Cloud Computing,,,,10.1186/s13677-024-00694-w,Jomina JohnJohn Singh K,2024,https://link.springer.com/article/10.1186/s13677-024-00694-w,Article
Cost modelling and optimisation for cloud: a graph-based approach,Journal of Cloud Computing,,,,10.1186/s13677-024-00709-6,Akif Quddus KhanMihhail MatskinRadu ProdanChristoph BusslerDumitru RomanAhmet Soylu,2024,https://link.springer.com/article/10.1186/s13677-024-00709-6,Article
Self-tuning serverless task farming using proactive elasticity control,Cluster Computing,,,,10.1007/s10586-020-03158-3,Stefan KehrerDominik ZietlowJochen ScheffoldWolfgang Blochinger,2020,https://link.springer.com/article/10.1007/s10586-020-03158-3,Article
Secure FaaS orchestration in the fog: how far are we?,Computing,,,,10.1007/s00607-021-00924-y,Alessandro BocciStefano FortiGian-Luigi FerrariAntonio Brogi,2021,https://link.springer.com/article/10.1007/s00607-021-00924-y,Article
"<span class=""mathjax-tex"">\(\nu\)</span>GNN: <b>N</b>on-<b>U</b>niformly partitioned full-graph <b>GNN</b> training on mixed GPUs",CCF Transactions on High Performance Computing,,,,10.1007/s42514-025-00224-3,Hemeng WangWenqing LinQingxiao SunWeifeng Liu,2025,https://link.springer.com/article/10.1007/s42514-025-00224-3,Article
Toolchain for faster iterations in quantum software development,Computing,,,,10.1007/s00607-025-01450-x,Otso KinanenAndrés D. Muñoz-MollerVlad StirbuJuan M. MurilloTommi Mikkonen,2025,https://link.springer.com/article/10.1007/s00607-025-01450-x,Article
A Novel Weight-Assignment Load Balancing Algorithm for Cloud Applications,SN Computer Science,,,,10.1007/s42979-023-01702-7,Adekunbi A. AdewojoJulian M. Bass,2023,https://link.springer.com/article/10.1007/s42979-023-01702-7,Article
Preservation of Sensitive Data Using Multi-Level Blockchain-based Secured Framework for Edge Network Devices,Journal of Grid Computing,,,,10.1007/s10723-023-09699-2,Charu AwasthiPrashant Kumar MishraPawan Kumar PalSurbhi Bhatia KhanAmbuj Kumar AgarwalThippa Reddy GadekalluAreej A. Malibari,2023,https://link.springer.com/article/10.1007/s10723-023-09699-2,Article
Machine learning-based cache miss prediction,International Journal on Software Tools for Technology Transfer,,,,10.1007/s10009-025-00800-6,Edin JelačićCristina SeceleanuNing XiongPeter BackemanSharifeh YaghoobiTiberiu Seceleanu,2025,https://link.springer.com/article/10.1007/s10009-025-00800-6,Article
In-depth analysis and open challenges of Mist Computing,Journal of Cloud Computing,,,,10.1186/s13677-022-00354-x,Juan José López EscobarRebeca P. Díaz RedondoFelipe Gil-Castiñeira,2022,https://link.springer.com/article/10.1186/s13677-022-00354-x,Article
Edge deep learning in computer vision and medical diagnostics: a comprehensive survey,Artificial Intelligence Review,,,,10.1007/s10462-024-11033-5,Yiwen XuTariq M. KhanYang SongErik Meijering,2025,https://link.springer.com/article/10.1007/s10462-024-11033-5,Article
Understanding the challenges and novel architectural models of multi-cloud native applications – a systematic literature review,Journal of Cloud Computing,,,,10.1186/s13677-022-00367-6,Juncal AlonsoLeire Orue-EchevarriaValentina CasolaAna Isabel TorreMaider HuarteEneko OsabaJesus L. Lobo,2023,https://link.springer.com/article/10.1186/s13677-022-00367-6,Article
Deep reinforcement learning-based methods for resource scheduling in cloud computing: a review and future directions,Artificial Intelligence Review,,,,10.1007/s10462-024-10756-9,Guangyao ZhouWenhong TianRajkumar BuyyaRuini XueLiang Song,2024,https://link.springer.com/article/10.1007/s10462-024-10756-9,Article
A systematic literature review for load balancing and task scheduling techniques in cloud computing,Artificial Intelligence Review,,,,10.1007/s10462-024-10925-w,Nisha DeviSandeep DalalKamna SolankiSurjeet DalalUmesh Kumar LilhoreSarita SimaiyaNasratullah Nuristani,2024,https://link.springer.com/article/10.1007/s10462-024-10925-w,Article
"From S<span>ancus</span> to S<span>ancus</span> <span class=""mathjax-tex"">\(^q\)</span>: staleness and quantization-aware full-graph decentralized training in graph neural networks",The VLDB Journal,,,,10.1007/s00778-024-00897-2,Jingshu PengQiyu LiuZhao ChenYingxia ShaoYanyan ShenLei ChenJiannong Cao,2025,https://link.springer.com/article/10.1007/s00778-024-00897-2,Article
Resilient service function chain initial deployment and dynamic replacement towards 6G networks,"Journal of King Saud University Computer and Information Sciences ",,,,10.1007/s44443-025-00103-5,Deqiang ZhouXinsheng JiWei YouYu ZhaoHang QiuMingyan Xu,2025,https://link.springer.com/article/10.1007/s44443-025-00103-5,Article
The Impact of Encoding and Transport for Massive Real-time IoT Data on Edge Resource Consumption,Journal of Grid Computing,,,,10.1007/s10723-021-09577-9,Francesco TusaStuart Clayman,2021,https://link.springer.com/article/10.1007/s10723-021-09577-9,Article
Social media analytics of the Internet of Things,Discover Internet of Things,,,,10.1007/s43926-021-00016-5,Jim A. ScheibmeirYashwant K. Malaiya,2021,https://link.springer.com/article/10.1007/s43926-021-00016-5,Article
Einsatz von Cloud-Technologien und -ressourcen in der Co-Simulation,HMD Praxis der Wirtschaftsinformatik,,,,10.1365/s40702-023-01004-9,Thorsten WackAndreas Schröder,2023,https://link.springer.com/article/10.1365/s40702-023-01004-9,Article
Formalstyler: GPT-Based Model for Formal Style Transfer with Meaning Preservation,SN Computer Science,,,,10.1007/s42979-023-02110-7,Mariano de RiveroCristhiam TiradoWilly Ugarte,2023,https://link.springer.com/article/10.1007/s42979-023-02110-7,Article
A Taste of What You’re Up Against: Two Tales,Database Performance at Scale,,,,10.1007/978-1-4842-9711-7_1,Felipe Cardeneti MendesPiotr SarnaPavel EmelyanovCynthia Dunlop,2023,https://link.springer.com/chapter/10.1007/978-1-4842-9711-7_1,Chapter
Monitoring,Database Performance at Scale,,,,10.1007/978-1-4842-9711-7_10,Felipe Cardeneti MendesPiotr SarnaPavel EmelyanovCynthia Dunlop,2023,https://link.springer.com/chapter/10.1007/978-1-4842-9711-7_10,Chapter
Staying ahead of phishers: a review of recent advances and emerging methodologies in phishing detection,Artificial Intelligence Review,,,,10.1007/s10462-024-11055-z,S. KavyaD. Sumathi,2024,https://link.springer.com/article/10.1007/s10462-024-11055-z,Article
Towards Cognitive Ports of the Future,Technologies and Applications for Big Data Value,,,,10.1007/978-3-030-78307-5_20,Santiago CáceresFrancisco ValverdeCarlos E. PalauAndreu Belsa PellicerChristos A. GizelisDimosthenes KrassasHanane BechaRéda KhouaniAndreas MetzgerNikos TzagkarakisAnthousa KarkoglouAnastasios NikolakopoulosAchilleas MarinakisVrettos MoulosAntonios LitkeAmir Shayan AhmadianJan Jürjens,2022,https://link.springer.com/chapter/10.1007/978-3-030-78307-5_20,Chapter
Blockchain meets machine learning: a survey,Journal of Big Data,,,,10.1186/s40537-023-00852-y,Safak KayikciTaghi M. Khoshgoftaar,2024,https://link.springer.com/article/10.1186/s40537-023-00852-y,Article
A Reference Architecture for&#xa0;Management of&#xa0;Security Operations in&#xa0;Digital Service Chains,Cybersecurity of Digital Service Chains,,,,10.1007/978-3-031-04036-8_1,Alessandro CarregaGiovanni GriecoDomenico StriccoliManos PapoutsakisTomas LimaJosé Ignacio CarreteroMatteo Repetto,2022,https://link.springer.com/chapter/10.1007/978-3-031-04036-8_1,Chapter
"IBM quantum computers: evolution, performance, and future directions",The Journal of Supercomputing,,,,10.1007/s11227-025-07047-7,Muhammad AbuGhanem,2025,https://link.springer.com/article/10.1007/s11227-025-07047-7,Article
Improving datacenter utilization through containerized service-based architecture,Journal of Cloud Computing,,,,10.1186/s13677-022-00319-0,Aos MulahuwaishShane KorbelBasheer Qolomany,2022,https://link.springer.com/article/10.1186/s13677-022-00319-0,Article
Building a&#xa0;Data Management System for the Cloud: Lessons Learned and Future Directions,Datenbank-Spektrum,,,,10.1007/s13222-025-00494-9,Martin HentschelJonathan DeesFlorian FunkeMax HeimelIsmail Oukid,2025,https://link.springer.com/article/10.1007/s13222-025-00494-9,Article
Cloudlock: secure data sharing using a hybrid cryptosystem in multi-cloud data storage,Cluster Computing,,,,10.1007/s10586-025-05433-7,Nitesh BharotNakul MehtaJohn G. BreslinPriyanka Verma,2025,https://link.springer.com/article/10.1007/s10586-025-05433-7,Article
The SODALITE Runtime Environment,Deployment and Operation of Complex Software in Heterogeneous Execution Environments,,,,10.1007/978-3-031-04961-3_5,Indika KumaraGiovanni QuattrocchiDragan RadoloviÄ‡Kamil TokmakovJesÃºs Ramos RivasWillem-Jan Van Den Heuvel,2022,https://link.springer.com/chapter/10.1007/978-3-031-04961-3_5,Chapter
Security-driven distributed platforms for intellectual property resource provision - a case study of TSITE IP,Journal of Cloud Computing,,,,10.1186/s13677-021-00274-2,Yang Wang,2021,https://link.springer.com/article/10.1186/s13677-021-00274-2,Article
Use of Internet of Things in the context of execution of smart city applications: a review,Discover Internet of Things,,,,10.1007/s43926-023-00037-2,Hari Mohan RaiAtik-Ur-RehmanAditya PalSandeep MishraKaustubh Kumar Shukla,2023,https://link.springer.com/article/10.1007/s43926-023-00037-2,Article
"Orchestration in the Cloud-to-Things compute continuum: taxonomy, survey and future directions",Journal of Cloud Computing,,,,10.1186/s13677-023-00516-5,Amjad UllahTamas KissJózsef KovácsFrancesco TusaJames DeslauriersHuseyin DagdevirenResmi ArjunHamed Hamzeh,2023,https://link.springer.com/article/10.1186/s13677-023-00516-5,Article
A hybrid machine learning model with self-improved optimization algorithm for trust and privacy preservation in cloud environment,Journal of Cloud Computing,,,,10.1186/s13677-024-00717-6,Himani SainiGopal SinghSandeep DalalIyyappan MoorthiSultan Mesfer AldossaryNasratullah NuristaniArshad Hashmi,2024,https://link.springer.com/article/10.1186/s13677-024-00717-6,Article
